,Product_Name,Price,Review,Number_Of_Reviews,Category
267, MSI Cubi 5 10M-032EU,"799,00",4 , 1 ,Desktops
268, Asus M241DAK-BA066T All-in-One Azerty,"649,00",0 , 0 ,Desktops
269, Lenovo IdeaCentre 5 14IMB05 90NA006FMH,"649,00",5 , 1 ,Desktops
270, HP Slim S01-aF1001nd,"349,00",4.5 ,10 ,Desktops
271, Lenovo IdeaCentre 510-15ICK 90LU008TMH,"869,00",4.5 ,30 ,Desktops
272, Lenovo IdeaCentre A540-27ICB F0EK00CNMB All-in-One Azerty,"1.699,00",0 , 0 ,Desktops
273," Apple Mac Mini (2020) 3,2GHz i7 16GB/1TB - 10Gbit/s Ethernet","2.164,00",4.5 ,15 ,Desktops
274, MSI MPG Trident 3 10SI-017EU,"999,00",4.5 , 1 ,Desktops
275, MSI Cubi 5 10M-035EU,"699,00",4 , 1 ,Desktops
276, Lenovo ThinkCentre M920x - 10S1002MMB - Azerty,"1.579,00",0 , 0 ,Desktops
277, Lenovo ThinkCentre P330 - 30CF0034MB - Azerty,"1.549,00",0 , 0 ,Desktops
278, ConceptD 500 i76216G,"1.999,00",0 , 0 ,Desktops
279," Apple iMac 4K 21,5"" (2020) 16GB/512GB Intel Core i7 AZERTY","2.449,00",5 , 1 ,Desktops
280, MSI MPG Trident 3 10SI-016EU,"1.399,00",4.5 , 1 ,Desktops
281, Asus Pro D642MF -I39100005R,"549,00",5 , 1 ,Desktops
282," Apple iMac 4K 21,5"" (2020) 8GB/512GB Intel Core i3 AZERTY","1.749,00",5 , 1 ,Desktops
283, HP 22-df0000nb All-in-One Azerty,"599,00",0 , 0 ,Desktops
284, MSI Cubi N 8GL-067MYS,"359,00",3.5 , 7 ,Desktops
285," Apple iMac 21,5"" (2019) 16GB/256GB 3,0GHz Azerty","2.059,00",5 ,13 ,Desktops
286," Apple Mac Mini (2020) 3,0GHz i5 8GB/1TB - 10Gbit/s Ethernet","1.654,00",4.5 ,15 ,Desktops
287, MSI MAG META 5 3SD-061MYS,"1.699,00",0 , 0 ,Desktops
